drug_trial_id,drug_name,drug_manufacturer,trial_phase,trial_results,trial_start_date,trial_end_date,trial_sample_size,dosage_mg,trial_location,missing_per_row
T1253,Aspirin,Unknown,Phase II,Failure,2021-04-24,2021-03-06,2604.0,218.91,Kisumu,1
T1254,Paracetamol,Novartis,Phase II,Failure,2022-04-12,2022-07-15,3496.0,350.67,Eldoret,0
T1255,Ibuprofen,Novartis,Phase I,Ongoing,2020-10-07,2020-10-17,4254.0,122.47,Kisumu,0
T1256,Paracetamol,Novartis,Phase I,Failure,2023-11-13,2023-12-23,3648.0,91.72,Kisumu,0
T1257,Paracetamol,Unknown,Phase I,Ongoing,2020-03-20,,284.0,60.35,Kisumu,2
T1258,Metformin,Johnson & Johnson,Phase I,Failure,2023-10-16,2024-01-27,2795.0,,Mombasa,1
T1259,Metformin,Roche,Phase II,Success,,2023-05-23,2189.0,332.93,Eldoret,1
T1260,Metformin,Roche,Phase II,Ongoing,2020-11-05,2021-05-23,4724.0,203.15,Nairobi,0
T1261,Ibuprofen,Novartis,Phase I,Ongoing,2022-02-09,2023-01-28,2478.0,259.37,Mombasa,0
T1262,Aspirin,Pfizer,Phase III,Success,2022-09-14,2023-01-29,172.0,358.05,Kisumu,1
T1263,Unknown,Roche,Phase I,Ongoing,2020-09-22,2020-10-18,286.0,107.28,Mombasa,1
T1264,Ibuprofen,Johnson & Johnson,Phase II,Ongoing,2022-03-11,2022-08-22,2983.0,257.05,Nairobi,1
T1265,Ibuprofen,Roche,Phase I,Failure,2023-12-20,2024-02-05,,248.59,Nairobi,2
T1266,Metformin,Johnson & Johnson,Phase III,Failure,2022-09-17,2022-10-31,-1336.0,451.02,Mombasa,0
T1267,Paracetamol,Pfizer,Phase II,Success,2023-01-05,2023-06-08,990.0,126.14,Mombasa,0
T1268,Ibuprofen,Pfizer,Phase III,Failure,2023-06-07,2023-12-17,4401.0,435.14,Eldoret,1
T1269,Metformin,Johnson & Johnson,Phase II,Ongoing,2022-02-02,2022-04-23,133.0,497.22,Mombasa,0
T1270,Aspirin,Novartis,Phase I,Ongoing,2021-07-14,2021-09-01,4343.0,418.25,Mombasa,0
T1271,Aspirin,Novartis,Phase III,Ongoing,2023-02-15,2023-04-25,2039.0,272.54,Kisumu,0
T1272,Metformin,Pfizer,Phase III,Failure,2022-09-21,2023-03-13,4333.0,107.58,Eldoret,0
T1273,Ibuprofen,Johnson & Johnson,Phase II,Ongoing,2020-12-03,2020-12-29,1071.0,300.01,Mombasa,0
T1274,Metformin,Roche,Phase I,Success,2021-05-09,2021-11-08,-2737.0,333.77,Kisumu,0
T1275,Aspirin,Roche,,Ongoing,,2020-11-29,2464.0,197.15,Kisumu,2
T1276,Aspirin,Johnson & Johnson,Phase II,Success,2021-01-26,2021-05-11,-141.0,194.51,Mombasa,0
T1277,Metformin,Roche,Phase III,Success,2020-09-23,2020-11-22,-2430.0,346.76,Eldoret,0
T1278,Aspirin,Unknown,Phase I,Success,2023-04-08,,3669.0,189.09,Mombasa,2
T1279,Aspirin,Pfizer,Phase II,,2021-07-28,2021-08-03,710.0,111.15,Kisumu,1
T1280,Metformin,Johnson & Johnson,Phase III,Failure,2020-12-23,2021-05-24,,,Mombasa,2
T1281,Paracetamol,Johnson & Johnson,Phase III,Failure,2021-12-17,2021-12-21,2502.0,,Eldoret,1
T1282,Paracetamol,Pfizer,Phase III,Failure,2021-04-26,2021-06-23,4534.0,478.09,Nairobi,0
T1283,Paracetamol,Roche,Phase I,Success,2020-02-16,2020-04-04,4240.0,227.24,Mombasa,0
T1284,Aspirin,Novartis,Phase I,Failure,2024-01-13,2024-06-24,2005.0,444.19,Eldoret,0
T1285,Metformin,Novartis,Phase II,Success,2022-05-05,2022-06-06,869.0,226.62,Unknown,1
T1286,Ibuprofen,Pfizer,,Ongoing,2021-07-29,2021-08-28,1971.0,221.24,Kisumu,1
T1287,Aspirin,Novartis,Phase II,Success,2020-03-06,2020-05-15,4639.0,291.52,Kisumu,0
T1288,Aspirin,Pfizer,Phase III,Ongoing,2020-11-24,2021-01-04,,84.11,Mombasa,1
T1289,Metformin,Unknown,Phase I,Ongoing,2021-08-11,2022-05-01,3542.0,227.28,Nairobi,1
T1290,Aspirin,Unknown,Phase II,Success,2020-05-30,2020-08-19,,302.54,Nairobi,2
T1291,Ibuprofen,Roche,Phase I,Failure,2022-09-07,2022-11-24,367.0,401.22,Eldoret,1
T1292,Aspirin,Pfizer,Phase II,Success,2020-11-15,2021-05-26,473.0,132.93,Eldoret,0
T1293,Ibuprofen,Pfizer,,Ongoing,2023-04-16,2023-08-14,,193.79,Nairobi,2
T1294,Metformin,Pfizer,Phase III,Failure,2023-12-06,2024-02-26,3402.0,473.05,Mombasa,0
T1295,Aspirin,Johnson & Johnson,Phase II,Failure,2023-04-18,2023-10-06,900.0,401.23,Nairobi,0
T1296,Ibuprofen,Roche,Phase III,Ongoing,2021-12-15,2022-04-10,,,Mombasa,2
T1297,Aspirin,Novartis,Phase II,Failure,2022-01-18,2022-05-27,4611.0,477.0,Eldoret,0
T1298,Paracetamol,Novartis,Phase II,Failure,2021-03-02,,,,Kisumu,3
T1299,Ibuprofen,Roche,Phase I,Success,2020-08-15,,2617.0,297.34,Nairobi,1
T1300,Ibuprofen,Novartis,Phase I,Success,2023-03-20,2023-09-04,4388.0,419.88,Eldoret,0
T1301,Unknown,Roche,Phase II,Success,,2022-11-05,3465.0,365.63,Mombasa,2
T1302,Aspirin,Novartis,Phase II,Success,2023-05-25,2023-09-10,4250.0,,Mombasa,1
T1303,Metformin,Roche,Phase I,Success,2022-08-08,2022-10-23,4615.0,449.0,Mombasa,0
T1304,Aspirin,Novartis,Phase II,Ongoing,2021-11-19,2021-11-30,4346.0,443.03,Mombasa,0
T1305,Paracetamol,Novartis,Phase I,Success,,2021-12-29,3244.0,100.65,Mombasa,1
T1306,Unknown,Pfizer,Phase II,Failure,,2020-07-24,,430.28,Eldoret,3
T1307,Metformin,Pfizer,Phase III,Failure,2021-10-25,,180.0,452.93,Mombasa,1
T1308,Paracetamol,Pfizer,Phase I,Failure,,2020-12-12,4319.0,197.14,Mombasa,1
T1309,Ibuprofen,Novartis,Phase II,Failure,2023-07-25,2023-12-26,330.0,61.36,Mombasa,0
T1310,Aspirin,Johnson & Johnson,Phase II,Ongoing,2023-03-07,2023-12-08,1823.0,283.34,Unknown,1
T1311,Metformin,Pfizer,Phase II,Failure,2023-06-07,2023-12-13,,467.51,Nairobi,1
T1312,Ibuprofen,Pfizer,Phase III,Ongoing,2023-12-16,2024-04-16,2362.0,73.74,Nairobi,0
T1313,Metformin,Roche,Phase I,Failure,,2024-01-02,2136.0,354.18,Eldoret,1
T1314,Ibuprofen,Johnson & Johnson,Phase I,Ongoing,2022-11-08,2023-01-27,,60.36,Mombasa,1
T1315,Aspirin,Pfizer,Phase II,Ongoing,2020-02-11,2020-05-27,2021.0,243.82,Eldoret,0
T1316,nan,Novartis,Phase III,Success,2022-08-26,2022-07-12,3974.0,446.7,Eldoret,0
T1317,Paracetamol,Johnson & Johnson,Phase III,Ongoing,2021-07-01,2021-07-07,3023.0,109.88,Mombasa,0
T1318,Metformin,Pfizer,,Ongoing,2021-05-11,2022-01-27,306.0,227.97,Kisumu,1
T1319,Aspirin,Novartis,Phase III,Ongoing,,2023-09-22,3016.0,429.43,Nairobi,1
T1320,Metformin,Roche,Phase I,Failure,2021-06-28,2021-06-07,4794.0,489.38,Kisumu,0
T1321,Ibuprofen,Pfizer,Phase I,Failure,2023-02-19,2023-08-05,238.0,122.18,Eldoret,0
T1322,Ibuprofen,Roche,Phase I,Failure,2021-11-30,2022-01-03,3903.0,113.51,Kisumu,0
T1323,Metformin,Unknown,Phase I,Failure,2023-04-27,2023-02-06,3172.0,339.88,Mombasa,1
T1324,Aspirin,Johnson & Johnson,Phase III,Ongoing,2023-10-04,2023-12-20,4597.0,348.83,Kisumu,0
T1325,Metformin,Johnson & Johnson,Phase II,Success,2020-03-07,2020-05-08,-226.0,482.91,Mombasa,1
T1326,Paracetamol,Roche,Phase III,Ongoing,2021-09-25,2021-10-14,2120.0,389.31,Kisumu,0
T1327,Aspirin,Roche,Phase III,Failure,2022-06-26,2022-09-23,3131.0,327.0,Mombasa,0
T1328,Metformin,Pfizer,Phase II,Ongoing,2022-11-14,2023-02-10,1426.0,268.18,Kisumu,0
T1329,Ibuprofen,Johnson & Johnson,Phase III,Failure,2022-04-14,2022-06-19,223.0,157.01,Eldoret,1
T1330,Ibuprofen,Pfizer,Phase III,Success,2023-01-29,2023-07-04,-1445.0,315.13,Nairobi,0
T1331,Paracetamol,Novartis,Phase I,Success,2022-01-01,2022-01-13,2672.0,440.17,Nairobi,0
T1332,Ibuprofen,Johnson & Johnson,Phase III,Failure,2023-03-10,2023-08-21,2270.0,377.17,Nairobi,1
T1333,Ibuprofen,Roche,Phase II,Ongoing,2023-04-11,2023-10-27,4236.0,231.77,Mombasa,0
T1334,Aspirin,Johnson & Johnson,Phase III,Failure,2023-07-10,,3159.0,155.57,Nairobi,1
T1335,Metformin,Roche,Phase II,,2021-12-28,2022-02-08,1884.0,190.28,Kisumu,1
T1336,Paracetamol,Novartis,Phase III,Failure,2021-10-05,2021-08-30,4090.0,371.55,Kisumu,0
T1337,Aspirin,Johnson & Johnson,Phase II,Failure,2022-11-26,2022-11-30,3205.0,104.56,Kisumu,0
T1338,Metformin,Roche,Phase II,Failure,2023-11-18,2023-10-12,798.0,458.25,Eldoret,0
T1339,Paracetamol,Novartis,Phase II,Ongoing,2020-02-16,2020-06-28,4230.0,273.73,Eldoret,0
T1340,Ibuprofen,Johnson & Johnson,Phase II,Success,2023-11-22,2023-12-28,1172.0,407.81,Eldoret,1
T1341,Paracetamol,Nan,Phase II,Failure,2022-07-07,2022-09-23,4203.0,393.62,Eldoret,0
T1342,Paracetamol,Roche,Phase I,Success,2023-08-05,2023-06-03,4651.0,,Mombasa,1
T1343,Metformin,Novartis,Phase II,Ongoing,2022-02-06,2022-09-03,230.0,65.72,Kisumu,0
T1344,Aspirin,Roche,Phase I,Success,2023-04-11,2023-10-13,2203.0,147.69,Eldoret,0
T1345,Ibuprofen,Johnson & Johnson,Phase I,Failure,,2023-07-08,2882.0,140.85,Kisumu,2
T1346,Unknown,Pfizer,Phase III,Success,2022-05-18,2022-09-24,1209.0,176.66,Eldoret,1
T1347,Aspirin,Novartis,Phase I,Ongoing,2020-10-29,2021-04-24,3724.0,105.65,Unknown,1
T1348,Paracetamol,Johnson & Johnson,Phase II,Success,2023-08-10,2023-09-28,555.0,410.64,Nairobi,0
T1349,Unknown,Novartis,Phase II,Failure,2022-06-18,2022-08-14,2783.0,376.85,Nairobi,1
T1350,Paracetamol,Pfizer,Phase I,Failure,2020-05-17,2020-08-27,4073.0,426.7,Eldoret,0
T1351,Metformin,Johnson & Johnson,Phase II,Success,2020-10-06,2021-04-03,3033.0,,Unknown,2
T1352,Paracetamol,Pfizer,Phase II,Success,2020-12-29,2021-06-07,4411.0,376.47,Nairobi,0
T1353,Paracetamol,Pfizer,Phase II,Ongoing,2021-01-05,2021-07-03,328.0,287.48,Kisumu,1
T1354,Paracetamol,Roche,Phase III,Failure,2023-05-23,2023-07-23,3616.0,308.34,Nairobi,0
T1355,Paracetamol,Novartis,Phase I,Failure,2021-12-26,,442.0,442.02,Mombasa,1
T1356,Ibuprofen,Roche,Phase I,Failure,2023-12-03,2024-02-14,2027.0,103.51,Nairobi,0
T1357,Paracetamol,Novartis,Phase III,Success,2023-11-06,2023-08-18,222.0,123.5,Eldoret,0
T1358,Paracetamol,Roche,Phase I,Ongoing,2023-05-15,2023-09-17,1302.0,139.65,Eldoret,0
T1359,Metformin,Nan,Phase I,Ongoing,2023-02-02,2023-05-30,2035.0,226.18,Mombasa,0
T1360,Ibuprofen,Unknown,,Failure,2020-10-05,2021-01-10,3050.0,101.96,Nan,2
T1361,Paracetamol,Johnson & Johnson,Phase III,Failure,2020-11-22,2020-10-12,3460.0,194.46,Mombasa,0
T1362,Ibuprofen,Pfizer,Phase III,Ongoing,2020-08-13,,516.0,106.8,Nairobi,1
T1363,Paracetamol,Novartis,Phase II,Ongoing,2023-01-12,2023-01-24,425.0,130.73,Nairobi,0
T1364,Metformin,Pfizer,Phase III,Failure,2021-06-22,2022-01-07,1659.0,334.93,Kisumu,0
T1365,Paracetamol,Novartis,Phase III,Failure,2022-06-09,2023-01-20,3675.0,442.35,Eldoret,0
T1366,Aspirin,Roche,Phase I,Success,2024-01-30,2024-06-03,2342.0,405.59,Kisumu,1
T1367,Ibuprofen,Roche,Phase III,Success,2022-04-22,2022-06-23,,62.62,Kisumu,1
T1368,Ibuprofen,Pfizer,Phase I,Failure,2023-03-06,2023-06-26,4142.0,177.94,Eldoret,0
T1369,Ibuprofen,Novartis,Phase I,Failure,2021-06-15,2021-11-13,393.0,176.16,Unknown,1
T1370,Unknown,Johnson & Johnson,Phase I,Success,2021-09-04,2021-10-10,4080.0,429.54,Nairobi,1
T1371,Metformin,Novartis,Phase II,Failure,2020-01-30,2020-05-15,2357.0,498.56,Eldoret,0
T1372,Paracetamol,Novartis,Phase II,Success,2023-01-07,2023-12-28,3683.0,70.1,Nan,0
T1373,Metformin,Roche,Phase III,Failure,2021-08-08,2021-12-15,3365.0,284.59,Nairobi,0
T1374,Ibuprofen,Pfizer,Phase II,Failure,2020-08-12,2021-03-11,1121.0,420.2,Nairobi,0
T1375,Paracetamol,Johnson & Johnson,Phase II,Failure,2020-07-25,2021-01-16,3195.0,73.32,Mombasa,0
T1376,Metformin,Pfizer,Phase I,Failure,2023-03-22,2023-07-19,2682.0,244.51,Eldoret,1
T1377,Paracetamol,Johnson & Johnson,Phase II,,2020-09-23,2020-12-04,117.0,326.81,Nairobi,1
T1378,Ibuprofen,Novartis,Phase II,Success,,2022-04-16,546.0,487.01,Nairobi,1
T1379,Paracetamol,Novartis,Phase I,Ongoing,2023-04-11,2023-02-07,-2170.0,499.67,Kisumu,0
T1380,Aspirin,Roche,Phase I,Ongoing,2023-11-28,2024-03-13,4231.0,102.87,Kisumu,0
T1381,Aspirin,Pfizer,Phase III,Failure,2022-12-12,2022-12-20,1270.0,275.0,Unknown,1
T1382,Ibuprofen,Roche,Phase I,Success,2023-12-28,2024-01-17,3720.0,103.09,Kisumu,0
T1383,Aspirin,Novartis,Phase I,Success,2022-03-28,2022-05-17,3105.0,367.1,Mombasa,0
T1384,Paracetamol,Johnson & Johnson,Phase II,Ongoing,2023-05-01,2023-06-15,2736.0,474.68,Nairobi,0
T1385,Aspirin,Johnson & Johnson,Phase III,Success,2020-04-01,2020-07-16,,291.41,Kisumu,1
T1386,Metformin,Novartis,Phase III,Failure,2021-12-24,2022-07-03,3247.0,216.03,Kisumu,0
T1387,Ibuprofen,Novartis,Phase I,Ongoing,2020-07-01,2020-06-17,4569.0,338.02,Kisumu,0
T1388,Aspirin,Novartis,,,2022-07-21,2022-08-23,1077.0,258.54,Kisumu,2
T1389,Paracetamol,Pfizer,Phase III,,2022-07-20,2022-08-22,4263.0,79.17,Mombasa,1
T1390,Ibuprofen,Johnson & Johnson,Phase I,Failure,,2022-02-02,1045.0,130.63,Kisumu,1
T1391,Metformin,Roche,Phase III,Ongoing,2021-01-11,2021-01-12,,253.01,Eldoret,1
T1392,Aspirin,Johnson & Johnson,Phase II,Success,2023-01-23,2023-06-07,1018.0,262.55,Mombasa,0
T1393,Ibuprofen,Pfizer,Phase III,Success,2023-01-01,2023-05-28,996.0,85.35,Mombasa,0
T1394,Paracetamol,Johnson & Johnson,Phase II,Success,2023-04-30,2023-09-12,3480.0,74.73,Kisumu,0
T1395,Metformin,Johnson & Johnson,Phase III,Success,2020-09-19,2020-08-11,1514.0,146.81,Eldoret,0
T1396,Aspirin,Unknown,Phase III,Failure,2020-08-09,2021-02-20,4169.0,452.16,Mombasa,1
T1397,Ibuprofen,Roche,Phase III,Success,2022-09-02,2022-06-16,4594.0,309.43,Kisumu,0
T1398,Metformin,Novartis,Phase I,Failure,2022-02-23,2022-03-30,779.0,,Nairobi,1
T1399,Metformin,Roche,Phase I,Ongoing,2022-07-31,2022-11-10,1123.0,437.47,Eldoret,0
T1400,Ibuprofen,Pfizer,Phase III,Failure,2021-04-21,2021-08-31,-2348.0,131.55,Eldoret,0
T1401,Metformin,Pfizer,Phase I,Ongoing,2023-04-01,2023-05-05,2864.0,444.7,Eldoret,0
T1402,Metformin,Nan,Phase III,Ongoing,2023-04-09,2024-01-04,,429.19,Mombasa,1
T1403,Paracetamol,Novartis,Phase I,Failure,2023-01-18,,683.0,417.21,Kisumu,1
T1404,Ibuprofen,Novartis,Phase II,Ongoing,2022-04-09,2023-01-24,535.0,185.68,Nairobi,0
T1405,Paracetamol,Pfizer,Phase III,Ongoing,2022-03-25,2022-08-30,549.0,473.31,Eldoret,0
T1406,Paracetamol,Roche,Phase III,Ongoing,2021-07-12,2021-09-08,808.0,474.09,Nairobi,0
T1407,Aspirin,Pfizer,Phase III,Ongoing,2020-02-06,2020-08-09,1897.0,484.24,Eldoret,0
T1408,Paracetamol,Pfizer,Phase II,Ongoing,,2022-12-07,634.0,216.15,Nan,1
T1409,Aspirin,Roche,,Success,2021-11-17,2022-04-01,3481.0,160.89,Mombasa,1
T1410,Paracetamol,Johnson & Johnson,Phase III,Failure,2022-09-09,,2918.0,262.65,Kisumu,2
T1411,Ibuprofen,Johnson & Johnson,Phase I,Failure,2022-03-09,2023-01-17,750.0,,Nairobi,1
T1412,Aspirin,Johnson & Johnson,Phase I,Ongoing,2021-12-19,2022-03-05,2775.0,59.57,Kisumu,0
T1413,Paracetamol,Roche,Phase I,Success,2024-10-01,2024-05-12,4564.0,399.78,Nairobi,0
T1414,nan,Johnson & Johnson,Phase I,Failure,2020-12-12,2021-07-04,580.0,66.21,Kisumu,0
T1415,Aspirin,Novartis,Phase II,Failure,2024-07-02,2024-02-14,760.0,389.26,Eldoret,0
T1416,Ibuprofen,Roche,Phase III,Success,2022-04-22,2022-12-06,4036.0,162.25,Mombasa,1
T1417,Unknown,Novartis,Phase III,Success,2020-11-19,2021-02-11,4207.0,61.02,Eldoret,1
T1418,Ibuprofen,Novartis,Phase III,,2024-01-11,2024-01-14,3325.0,186.37,Eldoret,1
T1419,Paracetamol,Johnson & Johnson,Phase I,Success,2020-06-28,2020-10-16,-288.0,323.09,Kisumu,0
T1420,Paracetamol,Roche,Phase II,Failure,2022-10-29,2022-12-11,4908.0,460.49,Nairobi,0
T1421,nan,Roche,Phase I,Ongoing,2021-05-14,2021-05-07,4804.0,178.75,Kisumu,0
T1422,Paracetamol,Novartis,Phase III,Failure,2020-03-21,2020-07-29,4512.0,471.13,Eldoret,0
T1423,Paracetamol,Johnson & Johnson,Phase II,Success,2022-01-11,2023-07-03,761.0,488.0,Eldoret,0
T1424,Ibuprofen,Roche,Phase I,Failure,2024-01-06,2024-05-25,4556.0,414.63,Eldoret,0
T1425,Paracetamol,Johnson & Johnson,Phase II,Success,2022-08-31,2023-02-24,671.0,170.63,Mombasa,0
T1426,Paracetamol,Novartis,,Success,2021-03-20,2021-10-05,4354.0,183.6,Mombasa,1
T1427,Ibuprofen,Johnson & Johnson,Phase III,,2021-05-12,2021-10-29,3840.0,306.44,Kisumu,1
T1428,Aspirin,Pfizer,Phase III,Ongoing,2020-01-15,2020-06-22,4946.0,448.27,Nairobi,1
T1429,Paracetamol,Johnson & Johnson,Phase II,Ongoing,2021-10-28,2022-05-14,4807.0,145.92,Nan,0
T1430,Paracetamol,Roche,Phase I,Ongoing,2022-09-23,2023-03-16,1897.0,419.51,Eldoret,0
T1431,Aspirin,Novartis,Phase II,Success,2022-12-03,,4000.0,,Nairobi,3
T1432,Metformin,Unknown,Phase I,Success,2024-01-07,2024-03-16,4021.0,369.93,Nairobi,1
T1433,Aspirin,Roche,,Ongoing,2022-05-06,2022-12-18,2911.0,83.05,Nairobi,1
T1434,Paracetamol,Novartis,Phase I,Ongoing,2022-10-14,2023-11-03,2538.0,140.65,Mombasa,0
T1435,Paracetamol,Roche,Phase II,Failure,2020-10-09,2020-12-11,447.0,103.75,Kisumu,0
T1436,Ibuprofen,Johnson & Johnson,,Success,2020-12-27,2021-05-26,4462.0,261.71,Eldoret,1
T1437,Metformin,Roche,Phase I,Ongoing,2021-12-14,2022-05-18,1969.0,351.94,Unknown,1
T1438,Paracetamol,Johnson & Johnson,Phase I,,2022-08-04,2022-08-28,267.0,113.88,Mombasa,1
T1439,Metformin,Novartis,Phase III,Failure,2022-01-17,,4050.0,,Kisumu,2
T1440,Metformin,Roche,Phase I,Failure,2023-05-19,2023-10-30,,,Mombasa,2
T1441,Metformin,Unknown,Phase III,Success,2022-02-02,2022-06-20,1217.0,101.29,Mombasa,1
T1442,Paracetamol,Johnson & Johnson,Phase I,Ongoing,2022-06-23,,2205.0,279.15,Eldoret,1
T1443,Metformin,Roche,Phase III,Ongoing,2020-10-07,2020-07-21,296.0,53.03,Mombasa,0
T1444,Aspirin,Novartis,Phase I,Failure,2022-08-05,2022-08-23,1326.0,459.17,Unknown,2
T1445,Aspirin,Johnson & Johnson,Phase I,Success,2020-01-27,2020-04-24,2031.0,322.99,Mombasa,0
T1446,Ibuprofen,Roche,Phase II,Ongoing,2022-07-30,2022-03-08,2745.0,171.62,Eldoret,0
T1447,Ibuprofen,Novartis,Phase III,Failure,2022-06-28,,,429.46,Kisumu,2
T1448,Paracetamol,Pfizer,Phase II,Ongoing,2022-06-09,2022-02-12,1123.0,472.09,Kisumu,0
T1449,Paracetamol,Novartis,Phase II,Failure,2020-02-07,2020-03-16,4689.0,252.15,Eldoret,0
T1450,Ibuprofen,Roche,Phase II,Failure,2020-07-24,2020-10-12,146.0,141.22,Kisumu,0
T1451,Aspirin,Pfizer,Phase II,Success,2020-04-23,2020-09-16,3689.0,52.96,Eldoret,0
T1452,Ibuprofen,Roche,Phase I,Ongoing,2022-08-01,2022-09-14,684.0,258.42,Eldoret,0
T1453,Ibuprofen,Johnson & Johnson,Phase I,,2023-12-15,,4424.0,121.69,Eldoret,2
T1454,Ibuprofen,Johnson & Johnson,Phase I,Failure,2023-07-03,,2013.0,192.74,Kisumu,1
T1455,Metformin,Johnson & Johnson,Phase III,Ongoing,2022-12-16,2023-05-26,1888.0,,Mombasa,1
T1456,Ibuprofen,Pfizer,Phase I,Success,2022-06-22,2022-07-26,2904.0,189.6,Eldoret,0
T1457,Aspirin,Pfizer,Phase II,Failure,2022-04-19,2022-08-31,,448.85,Kisumu,2
T1458,Unknown,Johnson & Johnson,Phase II,,2020-08-15,2020-09-27,2845.0,411.58,Nairobi,3
T1459,Ibuprofen,Novartis,Phase II,Ongoing,2022-07-04,2022-08-09,1099.0,143.59,Nan,1
T1460,Ibuprofen,Roche,Phase II,Ongoing,2023-03-03,2023-03-15,4359.0,212.05,Eldoret,0
T1461,Paracetamol,Roche,Phase II,Success,2023-02-16,2023-05-26,3924.0,242.35,Eldoret,0
T1462,Metformin,Novartis,Phase I,Failure,2021-06-24,2021-12-30,,151.2,Nairobi,1
T1463,Ibuprofen,Pfizer,Phase II,Ongoing,2020-10-25,2021-04-28,1847.0,205.45,Mombasa,0
T1464,Metformin,Johnson & Johnson,,Failure,2021-10-13,2022-01-19,583.0,262.14,Kisumu,1
T1465,Metformin,Roche,Phase III,Failure,2022-04-14,2022-06-22,284.0,470.64,Eldoret,0
T1466,Unknown,Novartis,Phase III,,2021-07-20,2022-04-01,1883.0,117.53,Eldoret,2
T1467,Ibuprofen,Novartis,Phase III,Ongoing,2022-07-14,2022-08-13,4844.0,188.18,Kisumu,0
T1468,Paracetamol,Pfizer,Phase II,Failure,2023-08-05,2023-08-13,3352.0,183.15,Kisumu,0
T1469,Paracetamol,Johnson & Johnson,Phase II,Failure,2021-06-16,2021-11-09,3992.0,250.99,Nairobi,0
T1470,Paracetamol,Novartis,,Success,2023-09-18,2024-03-21,743.0,388.92,Kisumu,1
T1471,Aspirin,Johnson & Johnson,Phase II,Success,2022-12-12,2023-03-27,3779.0,374.22,Nairobi,0
T1472,Unknown,Nan,Phase II,Ongoing,2023-05-02,2023-09-17,948.0,122.3,Kisumu,1
T1473,Ibuprofen,Johnson & Johnson,Phase II,Success,2020-05-27,2020-09-12,652.0,489.95,Eldoret,0
T1474,Paracetamol,Pfizer,,Failure,2021-07-03,2022-01-06,,58.27,Mombasa,2
T1475,Paracetamol,Pfizer,Phase II,Failure,2022-02-01,2022-02-16,-3727.0,307.54,Eldoret,0
T1476,Ibuprofen,Novartis,Phase I,Success,2023-01-26,2023-02-11,2398.0,309.39,Nairobi,0
T1477,Metformin,Roche,Phase I,Failure,2021-09-15,2022-04-03,792.0,375.61,Mombasa,0
T1478,Unknown,Johnson & Johnson,Phase II,Success,2020-08-22,2020-11-15,1594.0,159.91,Nairobi,1
T1479,Aspirin,Novartis,Phase III,Ongoing,2022-09-11,2023-04-29,149.0,466.55,Kisumu,0
T1480,Aspirin,Roche,Phase II,Failure,2020-09-22,2020-12-02,912.0,367.1,Kisumu,0
T1481,Ibuprofen,Roche,Phase III,Success,2022-09-26,2023-03-08,963.0,449.81,Nairobi,0
T1482,Metformin,Johnson & Johnson,Phase II,Ongoing,2020-04-03,2020-07-10,4345.0,445.78,Nairobi,0
T1483,Metformin,Pfizer,Phase II,Success,2023-02-01,2023-02-15,3796.0,117.61,Nan,0
T1484,Paracetamol,Novartis,Phase I,Failure,2021-05-29,2021-09-11,1292.0,88.71,Kisumu,0
T1485,Unknown,Pfizer,Phase II,Failure,2020-01-09,2020-02-19,1020.0,266.16,Nairobi,1
T1486,Aspirin,Pfizer,Phase III,Success,2020-10-13,2020-10-25,1095.0,142.73,Nairobi,0
T1487,Ibuprofen,Roche,Phase II,Success,2022-11-27,2022-03-12,634.0,174.17,Nairobi,0
T1488,Paracetamol,Novartis,Phase III,Ongoing,2023-02-05,2023-07-23,2032.0,472.6,Mombasa,0
T1489,Ibuprofen,Novartis,Phase III,Ongoing,2021-07-26,,2027.0,94.43,Nairobi,2
T1490,Paracetamol,Novartis,Phase II,Ongoing,2020-05-12,2020-05-09,1658.0,438.4,Mombasa,0
T1491,Aspirin,Unknown,Phase III,Ongoing,2022-05-26,2022-11-16,4714.0,187.84,Kisumu,1
T1492,Aspirin,Roche,Phase III,Failure,2021-08-12,2022-02-22,1173.0,426.38,Unknown,1
T1493,Aspirin,Pfizer,Phase III,Success,2022-06-19,2022-01-12,1233.0,304.26,Kisumu,1
T1494,Aspirin,Pfizer,Phase I,Ongoing,2022-01-18,2022-01-29,1447.0,,Kisumu,1
T1495,Aspirin,Pfizer,Phase I,Failure,2020-02-03,2020-03-03,2305.0,259.77,Eldoret,0
T1496,Ibuprofen,Novartis,,Failure,2022-05-02,2022-05-14,3889.0,241.43,Nairobi,1
T1497,Ibuprofen,Pfizer,Phase I,Success,2021-05-18,2021-11-17,2342.0,238.16,Kisumu,0
T1498,Metformin,Roche,Phase II,Success,2023-03-27,2023-05-22,,104.86,Kisumu,1
T1499,Ibuprofen,Johnson & Johnson,Phase I,Ongoing,2023-08-11,,1562.0,94.04,Eldoret,1
T1500,Unknown,Roche,Phase III,Failure,2022-04-23,2022-06-25,,84.44,Eldoret,2
T1501,Ibuprofen,Pfizer,Phase I,Failure,2022-06-04,,,337.47,Eldoret,2
T1502,Aspirin,Johnson & Johnson,Phase III,Failure,2021-12-18,2022-01-30,2314.0,133.19,Kisumu,0
T1503,Paracetamol,Roche,Phase III,Success,2022-09-30,2022-11-21,2010.0,310.68,Mombasa,0
T1504,Unknown,Novartis,Phase I,Failure,2021-05-05,2021-06-22,3664.0,338.7,Nairobi,1
T1505,Paracetamol,Johnson & Johnson,Phase III,Failure,2022-12-28,2023-05-11,,390.77,Kisumu,1
